CMDID,PARENTID,CMDTYPE,CAPTION,CMDNAME,CMDVALUE,ICON,CMDLVL,ISVISIBLE,ISENABLE,ACTION,CMDIDX,STATUS,HKCMD,URI,UCTID
005001,005,M,Catalogue definition,,"{""en"":""Catalogue definition"",""vi"":""Lo?i h?nh ti?n g?i"",""lo"":""??????????????? ?????????""}",Child.png,2,1,1,,1,N,,,DPT_CATALOGUE_DEFINITION
DPT_CAS,DPT,T,11841: Change account status,,"{""en"" : ""11841: Change account status"",""vi"" : """",""lo"" : ""11841: ???????????????""}",,2,1,1,,0,N,,,
DPT_HIS,DPT,T,1160: Transaction history inquiry,,"{
  ""en"" : ""1160: Transaction history inquiry"",
  ""vi"" : """",
  ""lo"" : ""1160: ?????????????????????????""
}",,2,1,1,,0,N,,,
DPT_ODO,DPT,T,1101: Create overdraft contract,,"{
  ""en"" : ""1101: Create overdraft contract"",
  ""vi"" : """",
  ""lo"" : ""1101: ?????????????????????????""
}",,2,0,0,,0,N,,,
DPT_OPN,DPT,T,1100: Open new deposit account,,"{
  ""en"" : ""1100: Open new deposit account"",
  ""vi"" : """",
  ""lo"" : ""1100: ????????????""
}",,2,1,1,,0,N,,,
PMT_ADV,PMT,T,6622: Cash Advance from Credit card,,"{""en"":""6622: Cash Advance from Credit card"",""vi"":""""}",,2,0,0,,0,N,,,
PMT_APR,PMT,T,Approve message queue,,"{""en"":""Approve message queue"",""vi"":""Duy¿t di¿n"",""lo"":""Approve message queue""}",,2,0,1,,0,N,,,
PMT_APR1,PMT,T,Approve message queue at center,,"{""en"":""Approve message queue at center"",""vi"":""Duy¿t di¿n"",""lo"":""Approve msg queue at center""}",,2,0,1,,0,N,,,
PMT_IDT,PMT,T,6611: Inward domestic bank,,"{
  ""en"" : ""6611: Inward domestic bank"",
  ""vi"" : ""Thanh toán ti¿n liên ngân hàng"",
  ""lo"" : ""6611: ?????????????????????????????????????""
}",,2,1,1,,0,N,,,
PMT_IIT,PMT,T,6610: Inward internal bank,,"{
  ""en"" : ""6610: Inward internal bank"",
  ""vi"" : ""Thanh toÃ¡n chuyÂ¿n tiÂ¿n nÂ¿i bÂ¿"",
  ""lo"" : ""6610: ????????????????????????????????""
}",,2,1,1,,0,N,,,
PMT_KQCB,PMT,T,6623: Krungsri quick transfer by cash (HO->Lao Branchs),,"{""en"":""6623: Krungsri quick transfer by cash (HO->Lao Branchs)"",""vi"":""""}",,2,0,0,,0,N,,,
PMT_KQCH,PMT,T,6624: Krungsri quick transfer by cash (Lao Branchs->HO),,"{""en"":""6624: Krungsri quick transfer by cash (Lao Branchs->HO)"",""vi"":""""}",,2,0,0,,0,N,,,
PMT_MAT,PMT,T,6621: Mini-ATM: ATM Krungsri bank,,"{""en"":""6621: Mini-ATM: ATM Krungsri bank"",""vi"":""""}",,2,0,0,,0,N,,,
PMT_PRO,PMT,T,Process message queue,,"{""en"":""Process message queue"",""vi"":""Duy¿t di¿n""}",,2,0,1,,0,N,,,
PMT_PRO1,PMT,T,Process message queue at center,,"{""en"":""Process message queue at center"",""vi"":""Duy¿t di¿n""}",,2,0,1,,0,N,,,
PMT_REJ,PMT,T,Reject message queue,,"{""en"":""Reject message queue"",""vi"":""H¿y di¿n""}",,2,0,1,,0,N,,,
PMT_REJ1,PMT,T,Reject message queue at center,,"{""en"":""Reject message queue at center"",""vi"":""H¿y di¿n""}",,2,0,1,,0,N,,,
005002,005,M,Account information,,"{""en"":""Account information"",""vi"":""Th?ng tin t?i kho?n"",""lo"":""????????????????????????""}",Child.png,2,1,1,,2,N,"{""en"":""Ctrl+D"",""vi"":""""}",,DPT_ACCOUNT_INFORMATION
017003091001,017003091,C,View,,,,4,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
005003,005,M,Deposit transaction,,"{""en"":""Deposit transaction"",""vi"":""Giao d?ch ti?n g?i""}",Child.png,2,0,1,,3,N,,,DPT_DEPOSIT_TRANSACTION
005004,005,M,Stock inventory,,"{""en"":""Stock inventory"",""vi"":""S? ti?n g?i"",""lo"":""????????????""}",Child.png,2,1,1,,4,N,,,DPT_STOCK_INVENTORY
0070080002,007008,C,View,,,,3,0,1,,2,N,,,
0070080000,007008,C,Search,,,,3,0,1,,0,N,,,
0070080004,007008,C,Delete,,,,3,0,1,,4,N,,,
0170030002,017003,C,View,,,,3,0,1,,2,N,,,
0170010002,017001,C,View,,,,3,1,1,,2,N,,,
0170010010,017001,C,Clear,,,,3,1,1,,10,N,,,
0170010000,017001,C,Search,,,,3,1,1,,0,N,,,
0170010001,017001,C,Add,,,,3,1,1,,1,N,,,
0170010003,017001,C,Modify,,,,3,1,1,,3,N,,,
0170010005,017001,C,Save,,,,3,1,1,,5,N,,,
0170010004,017001,C,Delete,,,,3,1,1,,4,N,,,
0080020001,008002,C,Add,,,,3,0,1,,1,N,,,
0080020002,008002,C,View,,,,3,0,1,,2,N,,,
0080020000,008002,C,Search,,,,3,0,1,,0,N,,,
0080020003,008002,C,Modify,,,,3,0,1,,3,N,,,
0080020005,008002,C,Save,,,,3,0,1,,5,N,,,
0080010002,008001,C,View,,,,3,0,1,,2,N,,,
0080010010,008001,C,Clear,,,,3,0,1,,10,N,,,
0080010000,008001,C,Search,,,,3,0,1,,0,N,,,
0080010001,008001,C,Add,,,,3,0,1,,1,N,,,
0080010003,008001,C,Modify,,,,3,0,1,,3,N,,,
0080010005,008001,C,Save,,,,3,0,1,,5,N,,,
0080010004,008001,C,Delete,,,,3,0,1,,4,N,,,
0180010005,018001,C,Save,,,,3,1,1,,5,N,,,
0180010010,018001,C,Clear,,,,3,1,1,,10,N,,,
0180030003,018003,C,Modify,,,,3,1,1,,3,N,,,
0180030005,018003,C,Save,,,,3,1,1,,5,N,,,
0180030010,018003,C,Clear,,,,3,1,1,,10,N,,,
0180040002,018004,C,View,,,,3,0,1,,2,N,,,
0180040006,018004,C,Print,,,,3,0,1,,6,N,,,
0180040000,018004,C,Search,,,,3,0,1,,0,N,,,
0180040001,018004,C,Add,,,,3,0,1,,1,N,,,
0180040003,018004,C,Modify,,,,3,0,1,,3,N,,,
0180040005,018004,C,Save,,,,3,0,1,,5,N,,,
0180040004,018004,C,Delete,,,,3,0,1,,4,N,,,
006,0,M,Credit,crd,"{""en"":""Credit"",""vi"":""Ti?n vay"",""lo"":""???????""}",Credit.png,1,1,1,,6,N,,,
006000000001,006,C,Search,,,,2,0,0,,1,N,,,
006000000002,006,C,Add,,,,2,0,0,,2,N,,,
006000000003,006,C,View,,,,2,0,0,,3,N,,,
006000000004,006,C,Modify,,,,2,0,0,,4,N,,,
006000000005,006,C,Delete,,,,2,0,0,,5,N,,,
006000000006,006,C,Save,,,,2,0,0,,6,N,,,
006000000007,006,C,Clear,,,,2,0,0,,7,N,,,
006000000008,006,C,Print,,,,2,0,0,,8,N,,,
006001,006,M,Catalogue definition,,"{""en"":""Catalogue definition"",""vi"":""Lo?i h?nh ti?n vay"",""lo"":""??????????????? ?????????""}",Child.png,2,1,1,,1,N,,,CRD_CATALOGUE_DEFINITION
006002,006,M,Account information,,"{""en"":""Credit account information"",""vi"":""Th?ng tin t?i kho?n"",""lo"":""??????????????????????????????""}",Child.png,2,1,1,,2,N,"{""en"":""Ctrl+E"",""vi"":""""}",,CRD_ACCOUNT_INFORMATION
006003,006,M,Credit transaction,,"{""en"":""Credit transaction"",""vi"":""Giao d?ch ti?n vay""}",Child.png,2,0,1,,3,N,,,
006003000001,006003,C,Search,,,,3,0,1,,1,N,,,
006004,006,M,Credit classification definition,,"{""en"":""Credit classification definition"",""vi"":""??nh nghia ph?n lo?i t?n d?ng""}",Child.png,2,0,1,,4,N,,,CRD_CREDIT_CLASSIFICATION_DEFINITION
006004000001,006004,C,Search,,,,3,0,1,,1,N,,,
006004000002,006004,C,Add,,,,3,0,1,,2,N,,,
006004000003,006004,C,View,,,,3,0,1,,3,N,,,
006004000004,006004,C,Modify,,,,3,0,1,,4,N,,,
006004000005,006004,C,Delete,,,,3,0,1,,5,N,,,
006004000006,006004,C,Save,,,,3,0,1,,6,N,,,
006004000007,006004,C,Clear,,,,3,0,1,,7,N,,,
007005000005,007005,C,Delete,,,,3,0,1,,5,N,,,
007005000006,007005,C,Save,,,,3,0,1,,6,N,,,
007005000007,007005,C,Clear,,,,3,0,1,,7,N,,,
007005000008,007005,C,Print,,,,3,0,1,,8,N,,,
006004000008,006004,C,Print,,,,3,0,1,,8,N,,,
006004001002,006004001,C,Add,,,,4,0,1,,2,N,,,
006004001,006004,M,Classification configuration item,,"{""en"":""Classification configuration item"",""vi"":""C?u h?nh ph?n lo?i""}",Child.png,3,0,1,,1,N,,,CRD_CLASSIFICATION_CONFIGURATION_ITEM
006004001001,006004001,C,Search,,,,4,0,1,,1,N,,,
006004001003,006004001,C,View,,,,4,0,1,,3,N,,,
006004001004,006004001,C,Modify,,,,4,0,1,,4,N,,,
006004001005,006004001,C,Delete,,,,4,0,1,,5,N,,,
006004001006,006004001,C,Save,,,,4,0,1,,6,N,,,
006004001007,006004001,C,Clear,,,,4,0,1,,7,N,,,
008000000001,008,C,Search,,,,2,0,1,,1,N,,,
008,0,M,Trade,tde,"{""en"":""Trade"",""vi"":""T?i tr? thuong m?i""}",Trade.png,1,0,1,,8,N,,,
006004001008,006004001,C,Print,,,,4,0,1,,8,N,,,
006004002,006004,M,Credit classification process definition,,"{""en"":""Credit classification process definition"",""vi"":""Qu? tr?nh d?nh nghia ph?n lo?i""}",Child.png,3,0,1,,2,N,,,CRD_CREDIT_CLASSIFICATION_PROCESS_DEFINITION
006004002001,006004002,C,Search,,,,4,0,1,,1,N,,,
006004002002,006004002,C,Add,,,,4,0,1,,2,N,,,
006004002003,006004002,C,View,,,,4,0,1,,3,N,,,
006004002004,006004002,C,Modify,,,,4,0,1,,4,N,,,
006004002005,006004002,C,Delete,,,,4,0,1,,5,N,,,
006004002006,006004002,C,Save,,,,4,0,1,,6,N,,,
006004002007,006004002,C,Clear,,,,4,0,1,,7,N,,,
006004002008,006004002,C,Print,,,,4,0,1,,8,N,,,
007,0,M,Payment,pmt,"{""en"":""Payment"",""vi"":""Chuy?n ti?n"",""lo"":""????????????""}",Payment.png,1,1,1,,7,N,,,
007000000001,007,C,Search,,,,2,0,0,,1,N,,,
007000000002,007,C,Add,,,,2,0,0,,2,N,,,
007000000003,007,C,View,,,,2,0,0,,3,N,,,
007000000004,007,C,Modify,,,,2,0,0,,4,N,,,
DPT_MLS,DPT,T,1191: Close deposit account by miscellaneous,,"{
  ""en"" : ""1191: Close deposit account by miscellaneous"",
  ""vi"" : """",
  ""lo"" : ""1191: ????????????????????????""
}",,2,1,1,,0,N,,,
TRD_OLI,TRD,T,OLC - Issuance - Information registration,,"{""en"":""OLC - Issuance - Information registration"",""vi"":""?ang k?, ph?t h?nh OLC""}",,2,0,1,,0,N,,,
TRD_OLV,TRD,T,OLC - Issuance Verify,,"{""en"":""OLC - Issuance Verify"",""vi"":""Ph?t h?nh OLC""}",,2,0,1,,0,N,,,
TRD_OAM,TRD,T,OLC Information modification,,"{""en"":""OLC Information modification"",""vi"":""S?a OLC""}",,2,0,1,,0,N,,,
TRD_OAR,TRD,T,OLC - Amendment Information registration,,"{""en"":""OLC - Amendment Information registration"",""vi"":""Tu ch?nh OLC""}",,2,0,1,,0,N,,,
TRD_OAV,TRD,T,OLC ??? Amendment  verify,,"{""en"":""OLC ??? Amendment  verify"",""vi"":""Tu ch??nh ph??t h?Â nh OLC""}",,2,0,1,,0,N,,,
TRD_OCL,TRD,T,OLC - Cancel new LC,,"{""en"":""OLC - Cancel new LC"",""vi"":""H?y thu t?n d?ng""}",,2,0,1,,0,N,,,
TRD_OCR,TRD,T,OLC - Issued LC cancell,,"{""en"":""OLC - Issued LC cancell"",""vi"":""Ch?p nh?n lo?i b? OLC m?i""}",,2,0,1,,0,N,,,
TRD_IIR,TRD,T,ILC - Advising information registration,,"{""en"":""ILC - Advising information registration"",""vi"":""?�ang k?? th??ng tin ILC""}",,2,0,1,,0,N,,,
TRD_ICF,TRD,T,ILC - Confirm,,"{""en"":""ILC - Confirm"",""vi"":""X??c nh??n ILC""}",,2,0,1,,0,N,,,
TRD_ICN,TRD,T,ILC ??? Cancel,,"{""en"":""ILC ??? Cancel"",""vi"":""Xo?? b?? ILC""}",,2,0,1,,0,N,,,
TRD_IAM,TRD,T,ILC - Amendment,,"{""en"":""ILC - Amendment"",""vi"":""Tu ch??nh ILC""}",,2,0,1,,0,N,,,
TRD_ICS,TRD,T,ILC - Close,,"{""en"":""ILC - Close"",""vi"":""???�????ng ILC""}",,2,0,1,,0,N,,,
TRD_IIT,TRD,T,ILC - In-house transfer,,"{""en"":""ILC - In-house transfer"",""vi"":""Chuy??n ILC trong h?? th??ng""}",,2,0,1,,0,N,,,
TRD_BCR,TRD,T,IBC- Inward bill collection under LC,,"{""en"":""IBC- Inward bill collection under LC"",""vi"":""Tu ch??nh ILC""}",,2,0,1,,0,N,,,
005000000008,005,C,Print,,,,2,0,0,,8,N,,,
017003073,017003,R,CRP0073,,"{""en"":""CRP0073"",""vi"":""CRP0073""}",Child.png,3,0,1,,2,N,,,
017003074,017003,R,CRP0074,,"{""en"":""CRP0074"",""vi"":""CRP0074""}",Child.png,3,0,1,,2,N,,,
017003075,017003,R,CRP0075,,"{""en"":""CRP0075"",""vi"":""CRP0075""}",Child.png,3,0,1,,2,N,,,
017003076,017003,R,CRP0076,,"{""en"":""CRP0076"",""vi"":""CRP0076""}",Child.png,3,0,1,,2,N,,,
017003077,017003,R,CRP0077,,"{""en"":""CRP0077"",""vi"":""CRP0077""}",Child.png,3,0,1,,2,N,,,
017003078,017003,R,CRP0078,,"{""en"":""CRP0078"",""vi"":""CRP0078""}",Child.png,3,0,1,,2,N,,,
017003079,017003,R,CRP0079,,"{""en"":""CRP0079"",""vi"":""CRP0079""}",Child.png,3,0,1,,2,N,,,
DPT_CIQ,DPT,T,1167: Cheque inquiry,,"{""en"":""1167: Cheque inquiry"",""vi"":""""}",,2,1,1,,0,N,,,
PMT_FCL,PMT,T,Share fee settlement,,"{""en"":""Share fee settlement"",""vi"":""Thanh to?n share fee""}",,2,0,0,,0,N,,,
TRD_IOT,TRD,T,ILC - Out-house transfer,,"{""en"":""ILC - Out-house transfer"",""vi"":""Chuy??n ILC ngoai h?? th??ng""}",,2,0,1,,0,N,,,
TRD_CIR,TRD,T,OBC - Outward bill collection under LC,,"{""en"":""OBC - Outward bill collection under LC"",""vi"":""OBC - Outward bill collection under LC""}",,2,0,1,,0,N,,,
TRD_CIN,TRD,T,OBC - Outward bill collection not under LC,,"{""en"":""OBC - Outward bill collection not under LC"",""vi"":""OBC - Outward bill collection not under LC""}",,2,0,1,,0,N,,,
TRD_BCC,TRD,T,IBC -Update complied status ,,"{""en"":""IBC -Update complied status "",""vi"":""IBC -Update complied status ""}",,2,0,1,,0,N,,,
ACT,0,T,Accounting,,"{""en"":""Accounting"",""vi"":"""",""lo"" : ""?????""}",,1,1,1,,1,N,,,
ACT_MAN,ACT,T,Internal transaction,,"{""en"" : ""Internal transaction"",""vi"" : """",""lo"" : ""????????????""}",,2,1,0,,0,N,,,
CSH,0,T,Cash,,"{""en"" : ""Cash"",""vi"" : ""Ti?n m?t"",""lo"" : ""???????""}",,1,1,1,,0,N,,,
016001004,016001,M,Job step,,"{""en"":""Job step"",""vi"":""Bu?c job"",""lo"":""?????????????????""}",Child.png,3,1,1,,4,N,,,ADM_BATCH_STEP
016002,016,M,Job process,,"{""en"":""Job process"",""vi"":""Lu?ng x? l?"",""lo"":""???????????????""}",Child.png,2,1,1,,2,N,,,JOB_JOB_PROCESS
017000000001,017,C,Search,,,,2,1,1,,1,N,,,
017000000002,017,C,Refresh,,,,2,1,1,,2,N,,,
017000000003,017,C,View,,,,2,1,1,,3,N,,,
017000000004,017,C,Export,,,,2,1,1,,4,N,,,
017000000005,017,C,Delete,,,,2,1,1,,5,N,,,
017000000006,017,C,Print,,,,2,1,1,,6,N,,,
017003076001,017003076,C,View,,,,4,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
0170030176,017003,R,CRP0176,,"{""en"":""CRP0176"",""vi"":""CRP0176""}",Child.png,3,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
017003077001,017003077,C,View,,,,4,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
0170030177,017003,R,CRP0177,,"{""en"":""CRP0177"",""vi"":""CRP0177""}",Child.png,3,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
017003078001,017003078,C,View,,,,4,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
0170030178,017003,R,CRP0178,,"{""en"":""CRP0178"",""vi"":""CRP0178""}",Child.png,3,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
017003079001,017003079,C,View,,,,4,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
0170030179,017003,R,CRP0179,,"{""en"":""CRP0179"",""vi"":""CRP0179""}",Child.png,3,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
017003080001,017003080,C,View,,,,4,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
0170030180,017003,R,CRP0180,,"{""en"":""CRP0180"",""vi"":""CRP0180""}",Child.png,3,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
017003081001,017003081,C,View,,,,4,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
0170030181,017003,R,CRP0181,,"{""en"":""CRP0181"",""vi"":""CRP0181""}",Child.png,3,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
017003082001,017003082,C,View,,,,4,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
0170030182,017003,R,CRP0182,,"{""en"":""CRP0182"",""vi"":""CRP0182""}",Child.png,3,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
017003083001,017003083,C,View,,,,4,0,1,,2,N,"{""en"":"""",""vi"":""""}",,
017003066,017003,R,CRP0066,,"{""en"":""CRP0066"",""vi"":""CRP0066""}",Child.png,3,0,1,,2,N,,,
017003067,017003,R,CRP0067,,"{""en"":""CRP0067"",""vi"":""CRP0067""}",Child.png,3,0,1,,2,N,,,
017003068,017003,R,CRP0068,,"{""en"":""CRP0068"",""vi"":""CRP0068""}",Child.png,3,0,1,,2,N,,,
017003069,017003,R,CRP0069,,"{""en"":""CRP0069"",""vi"":""CRP0069""}",Child.png,3,0,1,,2,N,,,
017003070,017003,R,CRP0070,,"{""en"":""CRP0070"",""vi"":""CRP0070""}",Child.png,3,0,1,,2,N,,,
017003071,017003,R,CRP0071,,"{""en"":""CRP0071"",""vi"":""CRP0071""}",Child.png,3,0,1,,2,N,,,
017003072,017003,R,CRP0072,,"{""en"":""CRP0072"",""vi"":""CRP0072""}",Child.png,3,0,1,,2,N,,,
009003,009,M,Investment transaction,,"{""en"":""Investment transaction"",""vi"":""Giao d?ch d?u tu""}",Child.png,2,0,1,,3,N,,,
009003000001,009003,C,Search,,,,3,0,1,,1,N,,,
017003001,017003,R,CRP0001,,"{""en"":""CRP0001"",""vi"":""CRP0001""}",Child.png,3,0,1,,1,N,,,
017003002,017003,R,CRP0002,,"{""en"":""CRP0002"",""vi"":""CRP0002""}",Child.png,3,0,1,,2,N,,,
017003003,017003,R,CRP0003,,"{""en"":""CRP0003"",""vi"":""CRP0003""}",Child.png,3,0,1,,2,N,,,
017003004,017003,R,CRP0004,,"{""en"":""CRP0004"",""vi"":""CRP0004""}",Child.png,3,0,1,,2,N,,,
017003005,017003,R,CRP0005,,"{""en"":""CRP0005"",""vi"":""CRP0005""}",Child.png,3,0,1,,2,N,,,
017003006,017003,R,CRP0006,,"{""en"":""CRP0006"",""vi"":""CRP0006""}",Child.png,3,0,1,,2,N,,,
017003007,017003,R,CRP0007,,"{""en"":""CRP0007"",""vi"":""CRP0007""}",Child.png,3,0,1,,2,N,,,
017003008,017003,R,CRP0008,,"{""en"":""CRP0008"",""vi"":""CRP0008""}",Child.png,3,0,1,,2,N,,,
017003009,017003,R,CRP0009,,"{""en"":""CRP0009"",""vi"":""CRP0009""}",Child.png,3,0,1,,2,N,,,
017003010,017003,R,CRP0010,,"{""en"":""CRP0010"",""vi"":""CRP0010""}",Child.png,3,0,1,,2,N,,,
017003011,017003,R,CRP0011,,"{""en"":""CRP0011"",""vi"":""CRP0011""}",Child.png,3,0,1,,2,N,,,
017003012,017003,R,CRP0012,,"{""en"":""CRP0012"",""vi"":""CRP0012""}",Child.png,3,0,1,,2,N,,,
017003013,017003,R,CRP0013,,"{""en"":""CRP0013"",""vi"":""CRP0013""}",Child.png,3,0,1,,2,N,,,
012004001,012004,M,Fixed asset and tool,,"{""en"":""Fixed asset and tool"",""vi"":""T?i s?n c? d?nh"",""lo"":""???????????? ??? ????????""}",Child.png,3,1,1,,2,N,,,ACT_FIXED_ASSET_AND_TOOL
012004002,012004,M,Payable and receivable,,"{""en"":""Payable and receivable"",""vi"":""Ph?i tr? v? d? thu""}",Child.png,3,0,1,,3,N,,,
012004002001,012004002,C,Search,,,,4,0,1,,1,N,,,
012004002002,012004002,C,Add,,,,4,0,1,,2,N,,,
012004002003,012004002,C,View,,,,4,0,1,,3,N,,,
012004002004,012004002,C,Modify,,,,4,0,1,,4,N,,,
012004002005,012004002,C,Delete,,,,4,0,1,,5,N,,,
012004002006,012004002,C,Save,,,,4,0,1,,6,N,,,
012004002007,012004002,C,Clear,,,,4,0,1,,7,N,,,
012004002008,012004002,C,Print,,,,4,0,1,,8,N,,,
012004003,012004,M,Planning,,"{""en"":""Planning"",""vi"":""L?p k? ho?ch""}",Child.png,3,0,1,,4,N,,,
012004003001,012004003,C,Search,,,,4,0,1,,1,N,,,
012004003002,012004003,C,Add,,,,4,0,1,,2,N,,,
012004003003,012004003,C,View,,,,4,0,1,,3,N,,,
012004003004,012004003,C,Modify,,,,4,0,1,,4,N,,,
012004003005,012004003,C,Delete,,,,4,0,1,,5,N,,,
012004003006,012004003,C,Save,,,,4,0,1,,6,N,,,
012004003007,012004003,C,Clear,,,,4,0,1,,7,N,,,
012004003008,012004003,C,Print,,,,4,0,1,,8,N,,,
012004004,012004,M,Bill definition,,"{""en"":""Bill definition"",""vi"":""H?i phi?u""}",Child.png,3,0,1,,5,N,,,
012004004001,012004004,C,Search,,,,4,0,1,,1,N,,,
012004004002,012004004,C,Add,,,,4,0,1,,2,N,,,
012004004003,012004004,C,View,,,,4,0,1,,3,N,,,
012004004004,012004004,C,Modify,,,,4,0,1,,4,N,,,
012004004005,012004004,C,Delete,,,,4,0,1,,5,N,,,
012004004006,012004004,C,Save,,,,4,0,1,,6,N,,,
005000000002,005,C,Add,,,,2,0,0,,2,N,,,
012004004007,012004004,C,Clear,,,,4,0,1,,7,N,,,
012004004008,012004004,C,Print,,,,4,0,1,,8,N,,,
TRD,0,T,Trade,,"{""en"":""Trade"",""vi"":""""}",,1,0,1,,0,N,,,
017001,017,M,Report declaration,,"{""en"":""Report declaration"",""vi"":""B?n khai b?o c?o"",""lo"":""???????????""}",Child.png,2,1,1,,1,N,,,RPP_REPORT_DECLARATION
011000000006,011,C,Save,,,,2,0,0,,6,N,,,
011000000007,011,C,Clear,,,,2,0,0,,7,N,,,
017002,017,M,Item definition,,"{""en"":""Item definition"",""vi"":""C?c m?c b?o c?o""}",Child.png,2,0,1,,2,N,,,
017002000001,017002,C,Search,,,,3,0,1,,1,N,,,
017002000002,017002,C,Add,,,,3,0,1,,2,N,,,
017002000003,017002,C,View,,,,3,0,1,,3,N,,,
017002000004,017002,C,Modify,,,,3,0,1,,4,N,,,
017002000005,017002,C,Delete,,,,3,0,1,,5,N,,,
017002000006,017002,C,Save,,,,3,0,1,,6,N,,,
017002000007,017002,C,Clear,,,,3,0,1,,7,N,,,
0070090010,007009,C,Clear,,,,3,1,1,,10,N,,,
0070090000,007009,C,Search,,,,3,1,1,,0,N,,,
0070090001,007009,C,Add,,,,3,1,1,,1,N,,,
0070090003,007009,C,Modify,,,,3,1,1,,3,N,,,
0070090005,007009,C,Save,,,,3,1,1,,5,N,,,
0070090004,007009,C,Delete,,,,3,1,1,,4,N,,,
0070010002,007001,C,View,,,,3,1,1,,2,N,,,
0070010010,007001,C,Clear,,,,3,1,1,,10,N,,,
0070010000,007001,C,Search,,,,3,1,1,,0,N,,,
0070010001,007001,C,Add,,,,3,1,1,,1,N,,,
0070010003,007001,C,Modify,,,,3,1,1,,3,N,,,
0070010005,007001,C,Save,,,,3,1,1,,5,N,,,
0070010004,007001,C,Delete,,,,3,1,1,,4,N,,,
0070060002,007006,C,View,,,,3,1,1,,2,N,,,
0070060000,007006,C,Search,,,,3,1,1,,0,N,,,
0070060008,007006,C,Approve,,,,3,1,1,,8,N,,,
0070060009,007006,C,Reject,,,,3,1,1,,9,N,,,
0070060003,007006,C,Modify,,,,3,1,1,,3,N,,,
0070060005,007006,C,Save,,,,3,1,1,,5,N,,,
0070060004,007006,C,Delete,,,,3,1,1,,4,N,,,
0070200002,007020,C,View,,,,3,1,1,,2,N,,,
0070200000,007020,C,Search,,,,3,1,1,,0,N,,,
0070200008,007020,C,Approve,,,,3,1,1,,8,N,,,
0070200009,007020,C,Reject,,,,3,1,1,,9,N,,,
0070200003,007020,C,Modify,,,,3,1,1,,3,N,,,
0070200005,007020,C,Save,,,,3,1,1,,5,N,,,
0070200035,007020,C,Process,,,,3,1,1,,35,N,,,
0070200004,007020,C,Delete,,,,3,1,1,,4,N,,,
0070100002,007010,C,View,,,,3,0,1,,2,N,,,
0070100004,007010,C,Delete,,,,3,0,1,,4,N,,,
017002000008,017002,C,Print,,,,3,0,1,,8,N,,,
018,0,M,User management,umg,"{""en"":""User management"",""vi"":""Qu?n tr? ngu?i s? d?ng"",""lo"":""????????????????????""}",User_management.png,1,1,1,,18,N,,,
018000000001,018,C,Search,,,,2,0,0,,1,N,,,
018000000002,018,C,Add,,,,2,0,0,,2,N,,,
018000000003,018,C,View,,,,2,0,0,,3,N,,,
018000000004,018,C,Modify,,,,2,0,0,,4,N,,,
015003010,015003,M,Bank open/close,,"{""en"":""Bank open/close"",""vi"":""M? c?a ng?n h?ng/??ng"",""lo"":""????/??? ???????""}",Child.png,3,1,1,,10,N,,,ADM_BANK_OPEN_CLOSE
015003011,015003,M,Foreign exchange rate,,"{""en"":""Foreign exchange rate"",""vi"":""T? gi? ngo?i t?"",""lo"":""???????????????????????????""}",Child.png,3,1,1,,11,N,,,ADM_FOREIGN_EXCHANGE_RATE
015004,015,M,Preference,,"{""en"":""Preference"",""vi"":""T?y bi?n ngu?i d?ng"",""lo"":""???????????""}",Child.png,2,1,1,,4,N,,,
015004002,015004,M,Calendar for currency,,"{""en"":""Calendar for currency"",""vi"":""L?ch ngo?i t?"",""lo"":""??????????????????????""}",Child.png,3,1,1,,2,N,,,ADM_CALENDAR_FOR_CURRENCY
015004003,015004,M,Options,,"{""en"":""Options"",""vi"":""Ch?n l?a"",""lo"":""?????????????""}",Child.png,3,1,1,,3,N,,,
015005,015,M,Branch,,"{""en"":""Branch"",""vi"":""Chi nh?nh"",""lo"":""????""}",Child.png,2,1,1,,5,N,,,ADM_BRANCH_PROFILE
015005001,015005,M,Branch open/close,,"{""en"":""Branch open/close"",""vi"":""M? c?a chi nh?nh/ ??ng"",""lo"":""???/??? ????""}",Child.png,3,1,1,,1,N,,,ADM_BRANCH_OPEN_CLOSE
016,0,M,Job,job,"{""en"":""Job"",""vi"":""X? l? t? d?ng"",""lo"":""??????""}",Job.png,1,1,1,,16,N,,,
016000000001,016,C,Search,,,,2,0,0,,1,N,,,
016000000002,016,C,Add,,,,2,0,0,,2,N,,,
016000000003,016,C,View,,,,2,0,0,,3,N,,,
016000000004,016,C,Modify,,,,2,0,0,,4,N,,,
016000000005,016,C,Delete,,,,2,0,0,,5,N,,,
